Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: AKO , with_vote: 200, new_vote : 1426.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: DEDE , with_vote: 50, new_vote : 1696.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: MAAFIA , with_vote: 20, new_vote : 1401.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: MAAME , with_vote: 100, new_vote : 1663.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: AKO , with_vote: 20, new_vote : 1474.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: MAAFIA , with_vote: 20, new_vote : 1459.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: SAPATO , with_vote: 200, new_vote : 1538.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: ETORNAM , with_vote: 200, new_vote : 1773.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 1.2 , Contestant_Updated: DEDE , with_vote: 2, new_vote : 1721.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: MAAFIA , with_vote: 10, new_vote : 1638.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: OLOBO , with_vote: 200, new_vote : 1840.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: MAAME , with_vote: 20, new_vote : 1802.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: MAAME , with_vote: 20, new_vote : 1822.<br/>
